Time, PoorSignal, Attention, Meditation
1538404081.270, 0, 54, 66
1538404082.248, 0, 64, 63
1538404083.257, 0, 66, 61
1538404084.245, 0, 83, 63
1538404085.261, 0, 77, 75
1538404086.272, 0, 51, 81
1538404087.261, 0, 48, 87
1538404088.252, 0, 48, 84
1538404089.240, 0, 48, 83
1538404090.258, 0, 48, 83
1538404091.275, 0, 57, 74
1538404092.262, 0, 53, 57
1538404093.252, 0, 63, 41
1538404094.242, 0, 69, 41
1538404095.254, 0, 53, 53
1538404096.273, 0, 51, 66
1538404097.261, 0, 41, 75
1538404098.257, 0, 41, 61
1538404099.241, 0, 50, 63
1538404100.254, 0, 56, 54
1538404101.237, 0, 61, 51
1538404102.243, 0, 61, 53
1538404103.247, 0, 64, 37
1538404104.243, 0, 54, 43
1538404105.253, 0, 54, 41
1538404106.256, 0, 51, 50
1538404107.256, 0, 61, 56
1538404108.261, 0, 61, 48
1538404109.246, 0, 66, 48
1538404110.273, 0, 77, 50
1538404111.240, 0, 74, 53
1538404112.258, 0, 69, 48
1538404113.240, 0, 57, 38
1538404114.261, 0, 44, 26
1538404115.256, 0, 38, 20
1538404116.259, 0, 50, 30
1538404117.254, 0, 57, 51
1538404118.259, 0, 67, 66
1538404119.268, 0, 67, 77
1538404120.258, 0, 66, 77
1538404121.243, 0, 63, 77
1538404122.260, 0, 60, 67
1538404123.241, 26, 60, 67
1538404124.253, 0, 51, 74
1538404125.259, 0, 56, 74
1538404126.259, 0, 56, 64
1538404127.262, 0, 50, 60
1538404128.277, 0, 57, 54
1538404129.258, 0, 63, 50
1538404130.273, 0, 74, 53
1538404131.243, 0, 75, 41
1538404132.258, 0, 78, 41
1538404133.252, 0, 69, 51
1538404134.243, 0, 60, 43
1538404135.255, 0, 60, 60
1538404136.242, 0, 57, 61
1538404137.271, 0, 56, 57
1538404138.237, 0, 60, 63
1538404139.270, 0, 67, 67
1538404140.275, 0, 66, 69
1538404141.239, 0, 69, 75
1538404142.258, 0, 67, 80
1538404143.240, 0, 51, 77
1538404144.261, 0, 44, 77
1538404145.273, 0, 44, 78
1538404146.261, 0, 35, 87
1538404147.253, 0, 50, 90
1538404148.258, 0, 41, 77
1538404149.253, 0, 30, 64
1538404150.242, 0, 35, 56
1538404151.272, 0, 37, 44
1538404152.268, 0, 48, 51
1538404153.239, 0, 60, 60
1538404154.255, 0, 64, 51
1538404155.246, 0, 43, 43
1538404156.261, 0, 40, 41
1538404157.259, 0, 37, 51
1538404158.243, 0, 30, 56
1538404159.252, 0, 51, 63
1538404160.245, 0, 53, 60
1538404161.262, 0, 63, 53
1538404162.242, 0, 70, 57
1538404163.262, 0, 67, 61
1538404164.257, 0, 66, 66
1538404165.274, 0, 67, 64
1538404166.256, 0, 74, 51
1538404167.267, 0, 67, 44
1538404168.245, 0, 67, 51
1538404169.289, 0, 57, 53
1538404170.237, 0, 60, 60
1538404171.253, 0, 64, 60
1538404172.245, 0, 67, 48
1538404173.256, 0, 53, 34
1538404174.260, 0, 57, 41
1538404175.242, 0, 56, 51
1538404176.258, 0, 57, 61
1538404177.275, 0, 60, 78
1538404178.258, 0, 50, 78
1538404179.272, 0, 41, 67
1538404180.239, 0, 35, 69
1538404181.260, 0, 44, 61
1538404182.244, 0, 61, 43
1538404183.272, 0, 69, 47
1538404184.247, 0, 81, 34
1538404185.257, 0, 84, 40
1538404186.254, 0, 70, 43
1538404187.272, 0, 61, 34
1538404188.259, 0, 53, 50
1538404189.257, 0, 51, 50
1538404190.247, 0, 51, 53
1538404191.255, 0, 69, 66
1538404192.246, 0, 69, 53
1538404193.260, 0, 60, 44
1538404194.242, 0, 57, 37
1538404195.273, 0, 41, 38
1538404196.257, 0, 43, 24
1538404197.246, 0, 54, 21
1538404198.259, 0, 50, 29
1538404199.289, 0, 74, 20
1538404200.261, 0, 66, 41
1538404201.275, 0, 63, 44
1538404202.241, 0, 57, 47
1538404203.246, 0, 53, 61
1538404204.259, 0, 48, 51
1538404205.261, 0, 51, 56
1538404206.261, 0, 74, 57
1538404207.245, 0, 63, 35
1538404208.256, 0, 78, 35
1538404209.237, 0, 75, 34
1538404210.262, 0, 60, 34
1538404211.277, 0, 61, 38
1538404212.259, 0, 56, 30
1538404213.257, 0, 61, 29
1538404214.246, 0, 63, 47
1538404215.275, 0, 74, 61
1538404216.256, 0, 90, 75
1538404217.256, 0, 88, 84
1538404218.257, 0, 90, 61
1538404219.257, 0, 91, 50
1538404220.252, 0, 80, 40
1538404221.257, 0, 94, 26
1538404222.240, 0, 88, 21
1538404223.258, 0, 96, 23
1538404224.258, 0, 91, 23
1538404225.276, 0, 64, 24
1538404226.244, 0, 63, 40
1538404227.251, 0, 37, 40
1538404228.262, 0, 26, 34
1538404229.254, 0, 38, 38
1538404230.259, 26, 38, 38
1538404231.243, 0, 54, 20
1538404232.243, 0, 50, 13
1538404233.242, 0, 56, 37
1538404234.243, 0, 44, 44
1538404235.261, 0, 26, 50
1538404236.253, 0, 34, 53
1538404237.253, 0, 29, 50
1538404238.274, 0, 37, 40
1538404239.260, 0, 35, 48
1538404240.273, 0, 47, 50
1538404241.241, 0, 41, 38
1538404242.252, 0, 56, 37
1538404243.234, 0, 64, 14
1538404244.261, 0, 70, 26
1538404245.252, 0, 77, 29
1538404246.239, 0, 56, 26
1538404247.276, 0, 69, 41
1538404248.257, 0, 63, 40
1538404249.261, 0, 63, 47
1538404250.274, 0, 66, 64
1538404251.261, 0, 48, 63
1538404252.272, 0, 30, 54
1538404253.247, 0, 27, 40
1538404254.243, 0, 35, 16
1538404255.241, 0, 37, 21
1538404256.245, 0, 47, 23
1538404257.252, 0, 64, 23
1538404258.244, 0, 54, 30
1538404259.255, 0, 56, 34
1538404260.259, 0, 61, 37
1538404261.242, 0, 56, 43
1538404262.257, 0, 67, 37
1538404263.243, 0, 66, 48
1538404264.251, 0, 67, 41
1538404265.238, 0, 63, 38
1538404266.258, 0, 64, 43
1538404267.258, 0, 77, 43
1538404268.246, 0, 69, 40
1538404269.258, 0, 66, 47
1538404270.240, 0, 44, 47
1538404271.256, 0, 29, 34
1538404272.258, 0, 26, 40
1538404273.246, 0, 40, 38
1538404274.257, 0, 53, 50
1538404275.246, 0, 53, 41
1538404276.259, 0, 66, 40
1538404277.256, 0, 47, 34
1538404278.253, 0, 57, 23
1538404279.269, 0, 75, 37
1538404280.244, 0, 61, 37
1538404281.256, 0, 70, 50
1538404282.237, 0, 54, 38
1538404283.241, 0, 50, 38
1538404284.269, 0, 57, 29
1538404285.239, 0, 63, 20
1538404286.257, 0, 61, 34
1538404287.256, 0, 64, 40
1538404288.243, 0, 57, 38
1538404289.258, 0, 53, 44
1538404290.257, 0, 64, 43
1538404291.252, 0, 67, 35
1538404292.257, 0, 81, 41
