Time, Value
1536308394.820, 66
1536308395.830, 61
1536308396.837, 57
1536308397.831, 56
1536308398.865, 48
1536308399.821, 43
1536308400.833, 54
1536308401.820, 63
1536308402.848, 50
1536308403.834, 53
1536308404.828, 60
1536308405.834, 50
1536308406.818, 61
1536308407.828, 66
1536308408.843, 48
1536308409.832, 40
1536308410.847, 37
1536308411.833, 37
1536308412.834, 35
1536308413.832, 41
1536308414.828, 47
1536308415.832, 40
1536308416.819, 50
1536308417.846, 61
1536308418.817, 63
1536308419.822, 74
1536308420.842, 63
1536308421.815, 61
1536308422.829, 66
1536308423.816, 60
1536308424.836, 78
1536308425.830, 78
1536308426.822, 69
1536308427.830, 69
1536308428.837, 57
1536308429.832, 50
1536308430.818, 51
1536308431.833, 50
1536308432.848, 51
1536308433.822, 47
1536308434.828, 54
1536308435.847, 64
1536308436.820, 70
1536308437.831, 74
1536308438.816, 75
1536308439.828, 70
1536308440.815, 56
1536308441.820, 63
1536308442.816, 50
1536308443.829, 56
1536308444.828, 75
1536308445.848, 70
1536308446.831, 78
1536308447.846, 51
1536308448.812, 30
1536308449.833, 47
1536308450.821, 57
1536308451.831, 63
1536308452.815, 88
1536308453.820, 74
1536308454.826, 57
1536308455.831, 48
1536308456.834, 21
1536308457.844, 29
1536308458.845, 43
1536308459.835, 57
1536308460.818, 63
1536308461.835, 56
1536308462.822, 50
1536308463.826, 40
1536308464.833, 50
1536308465.831, 57
1536308466.833, 57
1536308467.818, 78
1536308468.832, 87
1536308469.850, 75
1536308470.833, 75
1536308471.847, 78
1536308472.830, 60
1536308473.845, 69
1536308474.848, 70
1536308475.849, 54
1536308476.830, 56
1536308477.814, 50
1536308478.831, 47
1536308479.814, 56
1536308480.816, 60
1536308481.850, 54
1536308482.831, 57
1536308483.826, 50
1536308484.836, 50
1536308485.828, 56
1536308486.828, 48
1536308487.832, 51
1536308488.850, 50
1536308489.814, 50
1536308490.832, 50
1536308491.817, 53
1536308492.818, 56
1536308493.827, 51
1536308494.831, 53
1536308495.825, 64
1536308496.833, 63
1536308497.827, 64
1536308498.831, 74
1536308499.818, 53
1536308500.831, 38
1536308501.834, 38
1536308502.816, 35
1536308503.844, 40
1536308504.818, 51
1536308505.843, 56
1536308506.844, 40
1536308507.830, 54
1536308508.847, 60
1536308509.816, 48
1536308510.833, 60
1536308511.816, 38
1536308512.825, 44
1536308513.809, 66
1536308514.830, 67
1536308515.824, 74
1536308516.840, 60
1536308517.831, 43
1536308518.842, 48
1536308519.813, 50
1536308520.844, 53
1536308521.817, 53
1536308522.830, 43
1536308523.819, 30
1536308524.831, 23
1536308525.826, 30
1536308526.816, 41
1536308527.828, 66
1536308528.841, 88
1536308529.832, 88
1536308530.849, 81
1536308531.846, 64
1536308532.832, 53
1536308533.810, 41
1536308534.832, 29
1536308535.845, 38
1536308536.816, 47
1536308537.825, 64
1536308538.814, 51
1536308539.829, 40
1536308540.834, 41
1536308541.817, 27
1536308542.845, 53
1536308543.816, 64
1536308544.827, 53
1536308545.829, 57
1536308546.831, 57
1536308547.831, 41
1536308548.818, 43
1536308549.829, 48
1536308550.810, 35
1536308551.832, 44
1536308552.832, 53
1536308553.814, 44
1536308554.832, 63
1536308555.810, 67
1536308556.826, 54
1536308557.835, 48
1536308558.831, 50
1536308559.824, 37
1536308560.813, 41
1536308561.845, 44
1536308562.818, 38
1536308563.813, 43
1536308564.831, 56
1536308565.816, 66
1536308566.830, 64
1536308567.828, 78
1536308568.830, 67
1536308569.828, 56
1536308570.815, 50
1536308571.828, 35
1536308572.826, 30
1536308573.831, 40
1536308574.846, 38
1536308575.830, 50
1536308576.840, 60
1536308577.848, 53
1536308578.830, 77
1536308579.829, 78
1536308580.811, 81
1536308581.830, 77
1536308582.815, 51
1536308583.820, 43
1536308584.815, 34
1536308585.815, 43
1536308586.830, 38
1536308587.833, 43
1536308588.827, 50
1536308589.844, 48
1536308590.818, 56
1536308591.847, 60
1536308592.812, 63
1536308593.828, 60
1536308594.812, 64
1536308595.830, 54
1536308596.823, 47
1536308597.816, 47
1536308598.827, 43
1536308599.829, 50
1536308600.827, 53
1536308601.845, 57
1536308602.828, 67
1536308603.828, 69
1536308604.818, 74
1536308605.824, 80
1536308606.845, 70
1536308607.831, 61
1536308608.828, 56
1536308609.815, 56
1536308610.823, 57
1536308611.817, 60
1536308612.813, 60
1536308613.831, 54
1536308614.809, 66
1536308615.829, 67
1536308616.827, 66
1536308617.831, 67
1536308618.826, 51
1536308619.814, 53
1536308620.831, 44
1536308621.816, 41
1536308622.832, 43
1536308623.813, 47
1536308624.812, 64
1536308625.828, 60
1536308626.811, 74
1536308627.831, 70
1536308628.844, 53
1536308629.823, 67
1536308630.830, 63
1536308631.831, 50
1536308632.828, 61
1536308633.813, 54
1536308634.812, 43
1536308635.825, 60
1536308636.810, 64
1536308637.825, 54
1536308638.829, 51
1536308639.816, 43
1536308640.827, 41
1536308641.810, 44
1536308642.826, 48
1536308643.815, 43
1536308644.816, 30
1536308645.824, 38
1536308646.830, 38
1536308647.848, 38
1536308648.839, 40
1536308649.844, 40
1536308650.831, 43
1536308651.808, 50
1536308652.829, 54
1536308653.807, 50
1536308654.814, 53
1536308655.812, 48
1536308656.828, 35
1536308657.829, 38
1536308658.815, 29
1536308659.827, 37
1536308660.842, 63
1536308661.813, 63
1536308662.838, 64
1536308663.814, 54
1536308664.832, 48
1536308665.808, 44
1536308666.833, 47
1536308667.828, 56
1536308668.812, 69
1536308669.830, 77
1536308670.814, 75
1536308671.821, 83
1536308672.846, 64
1536308673.830, 67
1536308674.828, 77
1536308675.827, 64
1536308676.821, 74
1536308677.842, 54
1536308678.829, 51
1536308679.858, 54
1536308680.808, 41
1536308681.828, 56
1536308682.813, 61
1536308683.828, 60
1536308684.843, 63
1536308685.829, 60
1536308686.828, 56
1536308687.829, 54
1536308688.822, 64
1536308689.823, 54
1536308690.807, 50
1536308691.821, 43
1536308692.810, 38
1536308693.827, 51
1536308694.811, 50
1536308695.816, 57
1536308696.823, 44
1536308697.809, 43
1536308698.824, 54
1536308699.843, 56
1536308700.828, 70
1536308701.843, 56
1536308702.812, 41
1536308703.826, 43
1536308704.808, 35
1536308705.848, 54
1536308706.821, 74
1536308707.815, 74
1536308708.828, 61
1536308709.858, 40
1536308710.822, 26
1536308711.831, 11
1536308712.812, 30
1536308713.829, 51
1536308714.806, 51
1536308715.830, 64
1536308716.827, 63
1536308717.812, 63
1536308718.821, 69
1536308719.816, 80
1536308720.831, 78
1536308721.847, 64
1536308722.811, 63
1536308723.828, 54
1536308724.807, 47
1536308725.828, 56
1536308726.814, 56
1536308727.828, 56
1536308728.827, 64
1536308729.827, 61
1536308730.826, 60
1536308731.826, 43
1536308732.807, 37
1536308733.842, 38
1536308734.807, 30
1536308735.843, 53
1536308736.806, 53
1536308737.811, 48
1536308738.820, 64
1536308739.811, 64
1536308740.826, 57
1536308741.806, 60
1536308742.821, 43
1536308743.809, 35
1536308744.827, 34
1536308745.825, 37
1536308746.829, 51
1536308747.812, 67
1536308748.830, 94
1536308749.815, 94
1536308750.856, 91
1536308751.814, 93
1536308752.824, 74
1536308753.806, 67
1536308754.825, 74
1536308755.809, 57
1536308756.813, 50
1536308757.829, 63
1536308758.840, 48
1536308759.814, 53
1536308760.829, 61
1536308761.823, 53
1536308762.841, 56
1536308763.812, 51
1536308764.830, 50
1536308765.814, 60
1536308766.826, 57
1536308767.828, 60
1536308768.827, 64
1536308769.829, 64
1536308770.845, 61
1536308771.820, 61
1536308772.827, 56
1536308773.811, 44
1536308774.827, 54
1536308775.815, 66
1536308776.828, 61
1536308777.823, 56
1536308778.809, 54
1536308779.825, 53
1536308780.845, 67
1536308781.819, 75
1536308782.854, 77
1536308783.804, 88
1536308784.825, 66
1536308785.808, 69
1536308786.825, 54
1536308787.822, 34
1536308788.810, 43
1536308789.820, 54
1536308790.806, 67
1536308791.828, 51
1536308792.828, 50
1536308793.811, 35
1536308794.825, 38
1536308795.806, 50
1536308796.826, 38
1536308797.808, 35
1536308798.812, 26
1536308799.819, 38
1536308800.814, 56
1536308801.823, 74
1536308802.826, 66
1536308803.824, 69
1536308804.829, 67
1536308805.805, 54
1536308806.826, 61
1536308807.814, 43
1536308808.819, 40
1536308809.826, 41
1536308810.811, 48
1536308811.827, 40
1536308812.807, 38
1536308813.827, 50
1536308814.813, 41
1536308815.814, 61
1536308816.827, 64
1536308817.813, 56
1536308818.829, 66
1536308819.824, 67
1536308820.827, 66
1536308821.826, 60
1536308822.811, 61
1536308823.836, 63
1536308824.810, 70
1536308825.809, 69
1536308826.805, 61
1536308827.811, 56
1536308828.826, 40
1536308829.840, 38
1536308830.828, 35
1536308831.821, 38
1536308832.819, 50
1536308833.839, 50
1536308834.827, 50
1536308835.827, 24
1536308836.807, 29
1536308837.824, 27
1536308838.818, 35
1536308839.808, 43
1536308840.820, 43
1536308841.841, 54
1536308842.811, 44
1536308843.820, 50
1536308844.808, 40
1536308845.812, 29
1536308846.804, 29
1536308847.825, 29
1536308848.818, 48
1536308849.835, 47
1536308850.823, 54
1536308851.804, 54
1536308852.822, 60
1536308853.839, 64
1536308854.812, 48
1536308855.827, 54
1536308856.804, 37
1536308857.821, 41
1536308858.827, 60
1536308859.812, 57
1536308860.828, 60
1536308861.809, 57
1536308862.828, 57
1536308863.810, 50
1536308864.809, 41
1536308865.825, 41
1536308866.813, 43
1536308867.828, 53
1536308868.806, 53
1536308869.827, 63
1536308870.822, 74
1536308871.813, 77
1536308872.824, 94
1536308873.810, 81
1536308874.826, 67
1536308875.820, 54
1536308876.808, 47
1536308877.828, 53
1536308878.811, 54
1536308879.827, 57
1536308880.822, 44
1536308881.823, 48
1536308882.822, 53
1536308883.806, 44
1536308884.822, 53
1536308885.803, 44
1536308886.808, 29
1536308887.821, 43
1536308888.805, 35
1536308889.820, 26
1536308890.826, 34
1536308891.819, 30
1536308892.822, 40
1536308893.806, 43
1536308894.842, 48
1536308895.803, 51
1536308896.810, 56
1536308897.798, 70
1536308898.809, 53
1536308899.822, 57
1536308900.825, 57
1536308901.824, 43
1536308902.824, 48
1536308903.824, 43
1536308904.818, 44
1536308905.824, 56
1536308906.821, 63
1536308907.807, 74
1536308908.810, 70
1536308909.836, 67
1536308910.823, 75
1536308911.817, 69
1536308912.833, 61
1536308913.826, 69
1536308914.839, 69
1536308915.812, 48
1536308916.824, 44
1536308917.810, 27
1536308918.818, 27
1536308919.821, 44
1536308920.821, 44
1536308921.825, 43
1536308922.808, 44
1536308923.826, 54
1536308924.833, 57
1536308925.806, 64
1536308926.848, 57
1536308927.811, 53
1536308928.826, 56
1536308929.821, 57
1536308930.825, 57
1536308931.820, 54
1536308932.810, 50
1536308933.821, 54
1536308934.797, 54
1536308935.826, 51
1536308936.840, 57
1536308937.807, 51
1536308938.823, 63
1536308939.806, 75
1536308940.809, 69
1536308941.817, 75
1536308942.821, 54
1536308943.822, 43
1536308944.804, 41
1536308945.808, 38
1536308946.809, 57
1536308947.802, 56
1536308948.820, 64
1536308949.803, 66
1536308950.820, 60
1536308951.819, 61
1536308952.838, 66
1536308953.823, 61
1536308954.810, 63
1536308955.820, 64
1536308956.805, 43
1536308957.821, 48
1536308958.816, 54
1536308959.811, 69
1536308960.824, 77
1536308961.825, 81
1536308962.819, 77
1536308963.822, 64
1536308964.808, 77
1536308965.824, 81
1536308966.808, 80
1536308967.825, 75
1536308968.795, 75
1536308969.806, 53
1536308970.822, 47
1536308971.807, 51
1536308972.821, 37
1536308973.818, 54
1536308974.805, 70
1536308975.819, 63
1536308976.817, 60
1536308977.822, 57
1536308978.823, 51
1536308979.807, 50
1536308980.823, 69
1536308981.808, 77
1536308982.833, 66
1536308983.818, 78
1536308984.825, 61
1536308985.822, 53
1536308986.803, 43
1536308987.808, 43
1536308988.802, 67
1536308989.809, 50
1536308990.816, 57
1536308991.818, 56
1536308992.817, 43
1536308993.804, 56
1536308994.819, 56
1536308995.794, 50
1536308996.808, 40
1536308997.832, 50
1536308998.807, 38
1536308999.822, 29
1536309000.823, 34
1536309001.805, 13
1536309002.815, 35
1536309003.808, 44
1536309004.815, 63
1536309005.803, 69
1536309006.820, 56
1536309007.803, 41
1536309008.822, 21
1536309009.817, 30
1536309010.807, 40
1536309011.815, 57
1536309012.837, 54
1536309013.810, 54
1536309014.823, 54
1536309015.816, 44
1536309016.802, 48
1536309017.803, 43
1536309018.808, 44
1536309019.825, 50
1536309020.821, 48
1536309021.815, 40
1536309022.838, 26
1536309023.837, 34
1536309024.816, 38
1536309025.805, 40
1536309026.825, 54
1536309027.802, 41
1536309028.803, 40
1536309029.821, 35
1536309030.804, 34
1536309031.818, 48
1536309032.838, 50
1536309033.816, 63
1536309034.818, 54
1536309035.804, 26
1536309036.815, 26
1536309037.805, 24
1536309038.834, 38
1536309039.806, 54
1536309040.803, 47
1536309041.815, 50
1536309042.821, 40
1536309043.818, 44
1536309044.822, 53
1536309045.809, 56
1536309046.817, 63
1536309047.816, 63
1536309048.807, 75
1536309049.822, 56
1536309050.806, 61
1536309051.823, 57
1536309052.809, 56
1536309053.839, 51
1536309054.802, 48
1536309055.818, 50
1536309056.823, 41
1536309057.801, 54
1536309058.820, 47
1536309059.809, 60
1536309060.807, 57
